make,model,price_usd,year,kilometer,fuel_type,transmission,color,owner,seller_type,engine,max_power,max_torque,drivetrain,length_mm,width_mm,height_mm,seating_capacity,fuel_tank_capacity_l
Honda,City VX (O) MT BL,10500,2018,50000,Petrol,Manual,Silver,First,Individual,1497 cc,117 bhp @ 6600 rpm,145 Nm @ 4600 rpm,FWD,4440.0,1695.0,1495.0,5.0,40.0
Maruti Suzuki,DZire VDi AMT,8340,2018,66000,Diesel,Automatic,Red,First,Individual,1248 cc,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD,3995.0,1735.0,1515.0,5.0,37.0
Tata,Harrier XZA Plus,27300,2022,38000,Diesel,Automatic,Black,First,Individual,1956 cc,168 bhp @ 3750 rpm,350 Nm @ 1750 rpm,FWD,4598.0,1894.0,1706.0,5.0,50.0
Jeep,Compass Model S (O) 1.4 Petrol DCT,32400,2021,17000,Petrol,Automatic,Blue,First,Individual,1368 cc,161 bhp @ 5500 rpm,250 Nm @ 2500 rpm,FWD,4405.0,1818.0,1640.0,5.0,60.0
Hyundai,Verna Fluidic 1.6 CRDi SX,6540,2014,74000,Diesel,Manual,Grey,First,Individual,1582 cc,126 bhp @ 4000 rpm,260 Nm @ 1900 rpm,FWD,4370.0,1700.0,1475.0,5.0,43.0
Maruti Suzuki,Wagon R VXi 1.0 [2019-2019],6480,2021,22000,Petrol,Manual,White,First,Individual,,,,,3655.0,1620.0,1675.0,5.0,32.0
Skoda,Rapid Style 1.6 MPI AT,13188,2018,20690,Petrol,Automatic,Red,First,Individual,1598 cc,104 bhp @ 5200 rpm,153 Nm @ 3750 rpm,FWD,4413.0,1699.0,1466.0,5.0,55.0
Hyundai,Verna 1.6 CRDI SX,13500,2019,40000,Diesel,Manual,White,First,Individual,1582 cc,126 bhp @ 4000 rpm,260 Nm @ 1900 rpm,FWD,4375.0,1700.0,1475.0,5.0,43.0
Hyundai,Creta 1.6 SX Plus AT Petrol,15588,2018,50000,Petrol,Automatic,White,First,Individual,1591 cc,122 bhp @ 6400 rpm,154 Nm @ 4850 rpm,FWD,4270.0,1780.0,1630.0,5.0,60.0
BMW,5-Series 525d Luxury Plus,19200,2013,70000,Diesel,Automatic,White,Second,Individual,1995 cc,217 bhp @ 4400 rpm,450 Nm @ 1500 rpm,RWD,4899.0,2094.0,1464.0,5.0,
BMW,X6 xDrive40i M Sport,129600,2021,20000,Petrol,Automatic,Red,First,Individual,2998 cc,335 bhp @ 5500 rpm,450 Nm @ 1500 rpm,AWD,4935.0,2004.0,1696.0,5.0,83.0
Maruti Suzuki,XL6 Alpha AT Petrol,14280,2020,47248,Petrol,Automatic,Blue,First,Individual,1462 cc,103 bhp @ 6000 rpm,138 Nm @ 4400 rpm,FWD,4445.0,1775.0,1700.0,6.0,45.0
Tata,Tigor XZA Plus,9540,2021,9000,Petrol,Automatic,Brown,First,Individual,1199 cc,84 bhp @ 6000 rpm,113 Nm @ 3300 rpm,FWD,3993.0,1677.0,1532.0,5.0,35.0
Hyundai,Verna Fluidic 1.6 CRDi SX,5519,2013,78000,Diesel,Manual,White,Second,Individual,1582 cc,126 bhp @ 4000 rpm,260 Nm @ 1900 rpm,FWD,4370.0,1700.0,1475.0,5.0,43.0
Audi,A6 35 TDI Matrix,40800,2018,51000,Diesel,Automatic,Red,First,Individual,1968 cc,190 bhp @ 3800 rpm,400 Nm @ 1750 rpm,FWD,4933.0,1874.0,1455.0,5.0,75.0
Hyundai,Creta E Plus 1.6 Petrol,12600,2018,34841,Petrol,Manual,White,First,Individual,1591 cc,122 bhp @ 6400 rpm,151 Nm @ 4850 rpm,FWD,4270.0,1780.0,1665.0,5.0,55.0
Hyundai,i20 Magna 1.2,4620,2014,46000,Petrol,Manual,Maroon,First,Individual,1197 cc,83 bhp @ 6000 rpm,113.796 Nm @ 4000 rpm,FWD,3995.0,1710.0,1505.0,5.0,45.0
Honda,City S Diesel,7020,2015,61000,Diesel,Manual,Grey,First,Individual,1498 cc,99 bhp @ 3600 rpm,200 Nm @ 1750 rpm,FWD,4440.0,1695.0,1495.0,5.0,40.0
Audi,A3 35 TDI Premium + Sunroof,19800,2014,55000,Diesel,Automatic,White,First,Individual,1968 cc,141 bhp @ 3500 rpm,320 Nm @ 1750 rpm,FWD,4456.0,1796.0,1416.0,5.0,50.0
Maruti Suzuki,Swift VXi [2014-2017],7500,2020,58736,Petrol,Manual,Blue,First,Individual,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3850.0,1695.0,1530.0,5.0,42.0
Maruti Suzuki,Ciaz Alpha Hybrid 1.5 [2018-2020],10920,2019,34000,Petrol,Manual,Blue,First,Individual,1462 cc,103 bhp @ 6000 rpm,138 Nm @ 4400 rpm,FWD,4490.0,1730.0,1485.0,5.0,43.0
Mahindra,XUV500 W11,15300,2018,47000,Diesel,Manual,White,First,Individual,2179 cc,153 bhp @ 3750 rpm,360 Nm @ 1750 rpm,FWD,4585.0,1890.0,1785.0,7.0,70.0
Hyundai,Elite i20 Magna 1.2 [2016-2017],7020,2017,47000,Petrol,Manual,Grey,First,Individual,1197 cc,82 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3985.0,1734.0,1505.0,5.0,45.0
Mahindra,Thar CRDe 4x4 Non AC,12420,2017,79000,Diesel,Manual,Green,First,Individual,2498 cc,105@3800,247@1800,AWD,3920.0,1710.0,1930.0,7.0,60.0
Hyundai,Elite i20 Asta 1.2 IVT,12900,2021,12020,Petrol,Automatic,White,First,Individual,1197 cc,87 bhp @ 6000 rpm,115 Nm @ 1500 rpm,FWD,3995.0,1775.0,1505.0,5.0,37.0
Hyundai,Creta SX 1.5 Diesel [2020-2022],19800,2020,7000,Diesel,Manual,White,First,Individual,1493 cc,113 bhp @ 4000 rpm,250 Nm @ 1500 rpm,FWD,4300.0,1790.0,1635.0,5.0,50.0
Audi,A4 2.0 TDI (143bhp),18900,2014,15000,Diesel,Automatic,Red,First,Individual,1968 cc,141 bhp @ 4200 rpm,320 Nm @ 1750 rpm,FWD,4701.0,1826.0,1427.0,5.0,63.0
BMW,X3 xDrive20d,23400,2014,82000,Diesel,Automatic,White,Second,Individual,1995 cc,184 bhp @ 4000 rpm,380 Nm @ 1750 rpm,AWD,4648.0,1881.0,1661.0,5.0,67.0
BMW,5-Series 520d Luxury Line [2017-2019],76680,2022,6000,Diesel,Automatic,Grey,First,Individual,1995 cc,188 bhp @ 4000 rpm,400 Nm @ 1750 rpm,RWD,4936.0,1868.0,1479.0,5.0,65.0
Hyundai,Creta 1.4 S Plus,12960,2019,68000,Diesel,Manual,White,First,Individual,1396 cc,89 bhp @ 4000 rpm,224 Nm @ 1500 rpm,FWD,4270.0,1780.0,1630.0,5.0,60.0
Audi,Q7 45 TDI Premium Plus,66000,2017,24000,Diesel,Automatic,White,First,Individual,2967 cc,245 bhp @ 2910 rpm,600 Nm @ 1500 rpm,AWD,5052.0,1968.0,1740.0,7.0,75.0
Hyundai,Venue SX (O) 1.5 CRDi,12960,2020,56000,Diesel,Manual,Blue,First,Individual,1493 cc,99 bhp @ 4000 rpm,240 Nm @ 1500 rpm,FWD,3995.0,1770.0,1605.0,5.0,45.0
Mahindra,XUV500 W6,9600,2015,25000,Diesel,Manual,Grey,First,Corporate,2179 cc,138 bhp @ 3750 rpm,330 Nm @ 1600 rpm,FWD,4585.0,1890.0,1785.0,7.0,70.0
Datsun,Go Plus T,4020,2017,34000,Petrol,Manual,Brown,First,Individual,1198 cc,67 bhp @ 5000 rpm,104 Nm @ 4000 rpm,FWD,3995.0,1635.0,1490.0,7.0,35.0
Hyundai,Venue SX 1.0 Turbo iMT,14220,2021,10700,Petrol,Manual,White,First,Individual,998 cc,118 bhp @ 6000 rpm,172 Nm @ 1500 rpm,FWD,3995.0,1770.0,1605.0,5.0,45.0
Hyundai,Elite i20 Sportz 1.2 IVT,10739,2021,25000,Petrol,Automatic,White,First,Individual,1197 cc,87 bhp @ 6000 rpm,115 Nm @ 1500 rpm,FWD,3995.0,1775.0,1505.0,5.0,37.0
Honda,Amaze 1.2 S CVT Petrol [2018-2020],7800,2019,54000,Petrol,Automatic,White,Second,Individual,1199 cc,89 bhp @ 6000 rpm,110 Nm @ 4800 rpm,FWD,3995.0,1695.0,1501.0,5.0,35.0
Hyundai,i20 Sportz 1.4 CRDI,6600,2014,75000,Diesel,Manual,Maroon,First,Individual,1396 cc,90@4000,220@1750,,3940.0,1710.0,1505.0,5.0,45.0
Maruti Suzuki,Baleno Delta 1.3,6600,2016,88000,Diesel,Manual,Blue,First,Individual,1248 cc,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD,3995.0,1745.0,1500.0,5.0,37.0
Audi,Q3 35 TDI Premium + Sunroof,19800,2016,139000,Diesel,Automatic,White,Second,Individual,1968 cc,174 bhp @ 4200 rpm,380 Nm @ 1750 rpm,AWD,4385.0,1831.0,1608.0,5.0,64.0
Skoda,Kushaq Style 1.0L TSI MT,19200,2022,1300,Petrol,Manual,Red,First,Individual,999 cc,114 bhp @ 5000 rpm,178 Nm @ 1750 rpm,FWD,4225.0,1760.0,1612.0,5.0,50.0
Hyundai,Verna 1.6 VTVT SX (O),14100,2019,20000,Petrol,Manual,Black,First,Individual,1591 cc,121 bhp @ 6300 rpm,158 Nm @ 4200 rpm,FWD,4375.0,1700.0,1475.0,5.0,43.0
Mitsubishi,Pajero Select Plus AT,23940,2018,122000,Diesel,Automatic,Silver,First,Individual,2477 cc,176 bhp @ 4000 rpm,350 Nm @ 1800 rpm,RWD,4695.0,1815.0,1840.0,7.0,70.0
Hyundai,Elite i20 Sportz 1.4 CRDI [2016-2017],6900,2016,38000,Diesel,Manual,Silver,First,Individual,1396 cc,89 bhp @ 4000 rpm,220 Nm @ 1500 rpm,FWD,3985.0,1734.0,1505.0,5.0,45.0
MG,Hector Sharp 2.0 Diesel Turbo MT,23700,2021,18500,Diesel,Manual,Red,First,Individual,1956 cc,169 bhp @ 3750 rpm,350 Nm @ 1750 rpm,FWD,4655.0,1835.0,1760.0,5.0,60.0
Hyundai,Creta SX (O) 1.5 Diesel [2020-2022],19500,2022,27800,Diesel,Manual,White,First,Individual,1493 cc,113 bhp @ 4000 rpm,250 Nm @ 1500 rpm,FWD,4300.0,1790.0,1635.0,5.0,50.0
Maruti Suzuki,Swift VXi [2014-2017],8340,2019,46027,Petrol,Manual,Blue,First,Individual,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3850.0,1695.0,1530.0,5.0,42.0
Toyota,Yaris J CVT [2018-2020],10500,2018,23148,Petrol,Automatic,Red,First,Individual,1496 cc,106 bhp @ 6000 rpm,140 Nm @ 4200 rpm,FWD,4425.0,1730.0,1495.0,5.0,42.0
Skoda,Octavia 1.8 TSI Style Plus AT [2017],17940,2017,28000,Petrol,Automatic,Grey,First,Individual,1798 cc,177 bhp @ 5100 rpm,250 Nm @ 1250 rpm,FWD,4670.0,1814.0,1476.0,5.0,50.0
Maruti Suzuki,Swift ZXi AMT [2018-2019],8700,2019,11874,Petrol,Automatic,White,First,Individual,1197 cc,82 bhp @ 6000 rpm,113 Nm @ 4200 rpm,FWD,3840.0,1735.0,1530.0,5.0,37.0
Hyundai,Creta E Plus 1.6 Petrol,10500,2017,50000,Petrol,Manual,Silver,First,Individual,1591 cc,122 bhp @ 6400 rpm,154 Nm @ 4850 rpm,FWD,4270.0,1780.0,1630.0,5.0,60.0
BMW,5-Series 520d Modern Line,27000,2014,88000,Diesel,Automatic,Black,Third,Individual,1995 cc,184 bhp @ 4000 rpm,380 Nm @ 1750 rpm,RWD,4899.0,2094.0,1464.0,5.0,
Ford,Endeavour Trend 2.2 4x2 AT,28200,2016,75000,Diesel,Automatic,White,Second,Individual,2198 cc,158 bhp @ 3200 rpm,385 Nm @ 1600 rpm,RWD,4892.0,1860.0,1837.0,7.0,80.0
BMW,3-Series 320d Prestige,32280,2019,15500,Diesel,Automatic,Blue,First,Individual,1995 cc,188 bhp @ 4000 rpm,400 Nm @ 1750 rpm,RWD,4633.0,1811.0,1429.0,5.0,57.0
Maruti Suzuki,Ciaz VDi+ SHVS,8340,2016,82445,Diesel,Manual,Grey,Second,Individual,1248 cc,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD,4490.0,1730.0,1485.0,5.0,43.0
Honda,City V,7200,2014,75574,Petrol,Manual,Others,Second,Individual,1497 cc,117 bhp @ 6600 rpm,145 Nm @ 4600 rpm,FWD,4440.0,1695.0,1495.0,5.0,40.0
Maruti Suzuki,Wagon R LXI CNG,4500,2015,64000,CNG,Manual,Silver,First,Individual,998 cc,58 bhp @ 6200 rpm,77 Nm @ 3500 rpm,FWD,3599.0,1495.0,1700.0,5.0,35.0
Hyundai,i10 Sportz 1.2 Kappa2,3780,2012,75000,Petrol,Manual,White,First,Individual,1197 cc,79 bhp @ 6000 rpm,112.7619 Nm @ 4000 rpm,FWD,3585.0,1595.0,1550.0,5.0,35.0
Ford,Ecosport Trend 1.5 Ti-VCT,9300,2019,14095,Petrol,Manual,White,First,Individual,1499 cc,109 bhp @ 6300 rpm,140 Nm @ 4400 rpm,FWD,3999.0,1765.0,1708.0,5.0,52.0
Audi,A6 35 TDI Matrix,36900,2017,17000,Diesel,Automatic,White,First,Individual,1968 cc,190 bhp @ 3800 rpm,400 Nm @ 1750 rpm,FWD,4933.0,1874.0,1455.0,5.0,75.0
Renault,Duster 110 PS RxZ Diesel,4980,2014,70000,Diesel,Manual,White,First,Individual,1461 cc,108 bhp @ 3900 rpm,248 Nm @ 2250 rpm,FWD,4315.0,1822.0,1695.0,5.0,50.0
Maruti Suzuki,Ertiga ZDI + SHVS,9180,2017,68000,Diesel,Manual,Grey,First,Individual,1248 cc,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD,4296.0,1695.0,1685.0,7.0,45.0
Maruti Suzuki,Swift VXi [2014-2017],6240,2018,40000,Petrol,Manual,Grey,Second,Individual,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3850.0,1695.0,1530.0,5.0,42.0
Jaguar,XJ 3.0 V6 Portfolio,46800,2015,39000,Diesel,Automatic,Black,First,Individual,2993 cc,271 bhp @ 4000 rpm,600 Nm @ 2000 rpm,RWD,5252.0,1899.0,1457.0,5.0,83.0
Hyundai,Creta 1.6 SX,10200,2016,72000,Diesel,Manual,Red,First,Individual,1582 cc,126 bhp @ 4000 rpm,265 Nm @ 1900 rpm,FWD,4270.0,1780.0,1630.0,5.0,60.0
Maruti Suzuki,Ertiga VDI SHVS,11639,2016,39000,Diesel,Manual,Blue,First,Individual,1248 cc,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD,4296.0,1695.0,1685.0,7.0,45.0
Maruti Suzuki,Baleno Delta 1.3,6900,2016,62000,Diesel,Manual,Blue,First,Individual,1248 cc,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD,3995.0,1745.0,1500.0,5.0,37.0
Ford,Endeavour Sport 2.0 4x4 AT,46800,2021,41086,Diesel,Automatic,White,Second,Individual,1996 cc,168 bhp @ 3500 rpm,420 Nm @ 2000 rpm,AWD,4903.0,1869.0,1837.0,7.0,80.0
BMW,3-Series 320d Luxury Line,16740,2013,65000,Diesel,Automatic,Black,Second,Individual,1995 cc,188 bhp @ 4000 rpm,400 Nm @ 1750 rpm,RWD,4633.0,1811.0,1429.0,5.0,57.0
Skoda,Kushaq Style 1.0L TSI AT,19500,2021,7900,Petrol,Automatic,Silver,First,Individual,999 cc,114 bhp @ 5000 rpm,178 Nm @ 1750 rpm,FWD,4225.0,1760.0,1612.0,5.0,50.0
Kia,Sonet GTX Plus 1.5 AT [2020-2021],17988,2021,22000,Diesel,Automatic,Red,First,Individual,1493 cc,113 bhp @ 4000 rpm,250 Nm @ 1500 rpm,FWD,3995.0,1790.0,1647.0,5.0,45.0
Volkswagen,Tiguan Highline TDI,24600,2018,73000,Diesel,Automatic,White,Second,Individual,1968 cc,141 bhp @ 4000 rpm,340 Nm @ 1750 rpm,AWD,4486.0,1839.0,1672.0,5.0,71.0
Skoda,Octavia 1.8 TSI Style Plus AT [2017],15600,2016,55000,Petrol,Automatic,Grey,Second,Individual,1798 cc,177 bhp @ 5100 rpm,250 Nm @ 1250 rpm,FWD,4670.0,1814.0,1476.0,5.0,50.0
Skoda,Superb L&K TDI AT,38388,2019,6900,Diesel,Automatic,Grey,First,Individual,1968 cc,174 bhp @ 3600 rpm,350 Nm @ 1500 rpm,FWD,4861.0,1864.0,1483.0,5.0,66.0
Maruti Suzuki,Swift LXi,5400,2017,65000,Petrol,Manual,Grey,First,Individual,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3850.0,1695.0,1530.0,5.0,42.0
Honda,Mobilio RS Diesel,8100,2015,48000,Diesel,Manual,White,First,Individual,1498 cc,99 bhp @ 3600 rpm,200 Nm @ 1750 rpm,FWD,4386.0,1683.0,1603.0,7.0,42.0
Maruti Suzuki,Alto 800 Lxi,3360,2018,48000,Petrol,Manual,Silver,Second,Individual,796 cc,47 bhp @ 6000 rpm,69 Nm @ 3500 rpm,FWD,3395.0,1490.0,1475.0,5.0,35.0
Maruti Suzuki,Wagon R LXI ABS,5100,2018,18000,Petrol,Manual,Grey,First,Individual,998 cc,67 bhp @ 6200 rpm,90 Nm @ 3500 rpm,FWD,3599.0,1495.0,1700.0,5.0,35.0
Rolls-Royce,Ghost Extended Wheelbase,240000,2011,27000,Petrol,Automatic,Blue,Third,Individual,6592 cc,570 bhp @ 5250 rpm,780 Nm @ 1500 rpm,RWD,5569.0,1948.0,1550.0,5.0,82.5
Mercedes-Benz,C-Class 220 BlueEfficiency,15000,2012,78000,Diesel,Automatic,White,First,Individual,2143 cc,170 bhp @ 4200 rpm,400 Nm @ 2800 rpm,RWD,4596.0,1770.0,1447.0,5.0,66.0
Hyundai,Santa Fe 2WD AT [2014-2017],14100,2014,87938,Diesel,Automatic,White,Second,Individual,2199 cc,194 bhp @ 3800 rpm,437 Nm @ 1800 rpm,AWD,4690.0,1880.0,1690.0,7.0,64.0
Hyundai,Santro Sportz CNG [2018-2020],6540,2019,43000,CNG,Manual,Silver,First,Individual,1086 cc,58 bhp @ 5500 rpm,84 Nm @ 4500 rpm,FWD,3610.0,1645.0,1560.0,5.0,60.0
Mercedes-Benz,C-Class 220 CDI Elegance AT,5940,2008,95200,Diesel,Automatic,Grey,First,Corporate,2148 cc,170@3700,410@2000,RWD,4581.0,1770.0,1447.0,5.0,66.0
Maruti Suzuki,Swift DZire VXI,6000,2016,26000,Petrol,Manual,White,First,Individual,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3995.0,1695.0,1555.0,5.0,42.0
Maruti Suzuki,Celerio VXi AMT,4680,2015,70000,Petrol,Automatic,White,First,Individual,998 cc,67 bhp @ 6000 rpm,90 Nm @ 3500 rpm,FWD,3600.0,1600.0,1560.0,5.0,35.0
Maruti Suzuki,Wagon R LXi 1.0 CNG [2019-2020],6900,2019,31000,CNG,Manual,Grey,First,Individual,998 cc,58 bhp @ 5500 rpm,78 Nm @ 3500 rpm,FWD,3655.0,1620.0,1675.0,5.0,60.0
BMW,3-Series 320d Luxury Line [2014-2016],25200,2014,103000,Diesel,Automatic,Black,Second,Individual,1995 cc,184 bhp @ 4000 rpm,380 Nm @ 1750 rpm,RWD,4624.0,2031.0,1429.0,5.0,
Hyundai,i10 Magna 1.2 Kappa2,3000,2012,54556,Petrol,Manual,White,First,Individual,1197 cc,79 bhp @ 6000 rpm,112.7619 Nm @ 4000 rpm,FWD,3585.0,1595.0,1550.0,5.0,35.0
Maruti Suzuki,DZire VXi,8220,2019,74000,Petrol,Manual,Blue,First,Individual,1197 cc,89 bhp @ 6000 rpm,113 Nm @ 4400 rpm,FWD,3995.0,1735.0,1515.0,5.0,37.0
Renault,Kwid RXT [2015-2019],3840,2016,64000,Petrol,Manual,Silver,First,Individual,799 cc,53 bhp @ 5678 rpm,72 Nm @ 4386 rpm,FWD,3679.0,1579.0,1478.0,5.0,28.0
Maruti Suzuki,S-Cross Delta 1.6,7440,2016,85000,Diesel,Manual,White,Second,Individual,1598 cc,118 bhp @ 3750 rpm,320 Nm @ 1750 rpm,FWD,4300.0,1765.0,1590.0,5.0,48.0
Maruti Suzuki,Swift VXi [2014-2017],7200,2018,54000,Petrol,Manual,White,First,Individual,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3850.0,1695.0,1530.0,5.0,42.0
Jeep,Compass Longitude (O) 1.4 Petrol AT [2019-2020],21000,2019,57000,Petrol,Automatic,Silver,First,Individual,1368 cc,160 bhp @ 5500 rpm,250 Nm @ 2500 rpm,FWD,4395.0,1818.0,1640.0,5.0,60.0
Land Rover,Discovery Sport SE,59400,2018,38000,Diesel,Automatic,White,First,Individual,1999 cc,177 bhp @ 4000 rpm,430 Nm @ 1750 rpm,AWD,4600.0,2173.0,1690.0,7.0,65.0
Hyundai,Creta 1.6 SX Plus AT,12180,2015,68566,Diesel,Automatic,White,First,Individual,1582 cc,126 bhp @ 4000 rpm,265 Nm @ 1900 rpm,FWD,4270.0,1780.0,1630.0,5.0,60.0
Toyota,Corolla Altis 1.8 G,4680,2009,68195,Petrol,Manual,White,First,Individual,1794 cc,132@6000,170@4200,FWD,4540.0,1760.0,1480.0,5.0,55.0
Maruti Suzuki,Ciaz Delta 1.4 MT,9060,2017,57000,Petrol,Manual,White,First,Individual,1373 cc,91 bhp @ 6000 rpm,130 Nm @ 4000 rpm,FWD,4490.0,1730.0,1485.0,5.0,43.0
Hyundai,Creta SX (O) 1.4 Turbo 7 DCT Dual Tone [2022-2022],21900,2021,45000,Petrol,Automatic,White,First,Individual,1353 cc,138 bhp @ 6000 rpm,242 Nm @ 1500 rpm,FWD,4300.0,1790.0,1635.0,5.0,50.0
Maruti Suzuki,Celerio VXi AMT,4992,2014,60116,Petrol,Automatic,Grey,First,Individual,998 cc,67 bhp @ 6000 rpm,90 Nm @ 3500 rpm,FWD,3600.0,1600.0,1560.0,5.0,35.0
Maruti Suzuki,Swift DZire ZDi BS-IV,3900,2010,82202,Diesel,Manual,White,Second,Individual,1248 cc,75@4000,190@2000,FWD,4160.0,1690.0,1530.0,5.0,43.0
Maruti Suzuki,Wagon R LXi Minor,2616,2008,51000,Petrol,Manual,Gold,Second,Individual,1061 cc,67@6200,84@3500,FWD,3520.0,1475.0,1690.0,5.0,35.0
Mercedes-Benz,CLA 200 CDI Sport,33600,2018,24000,Diesel,Automatic,Red,First,Individual,2143 cc,134 bhp @ 3600 rpm,300 Nm @ 1600 rpm,FWD,4630.0,1777.0,1432.0,5.0,
Maruti Suzuki,Ciaz VDi (O) SHVS,7800,2017,86000,Diesel,Manual,White,First,Individual,1248 cc,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD,4490.0,1730.0,1485.0,5.0,43.0
Honda,WR-V S MT Diesel,9480,2018,41000,Diesel,Manual,Silver,First,Individual,1498 cc,99 bhp @ 3600 rpm,200 Nm @ 1750 rpm,FWD,3999.0,1734.0,1601.0,5.0,40.0
Honda,City SV Diesel,6480,2015,76000,Diesel,Manual,Red,First,Individual,1498 cc,99 bhp @ 3600 rpm,200 Nm @ 1750 rpm,FWD,4440.0,1695.0,1495.0,5.0,40.0
Maruti Suzuki,Swift VDi,4500,2011,120000,Diesel,Manual,Silver,First,Individual,1248 cc,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD,3850.0,1695.0,1530.0,5.0,42.0
BMW,X1 sDrive20i xLine,47880,2021,12500,Petrol,Automatic,White,First,Individual,1998 cc,189 bhp @ 5000 rpm,280 Nm @ 1350 rpm,FWD,4447.0,1821.0,1598.0,5.0,51.0
Porsche,718 Boxster,130800,2018,6300,Petrol,Automatic,Grey,First,Corporate,1988 cc,295 bhp @ 6500 rpm,380 Nm @ 2150 rpm,RWD,4379.0,1801.0,1281.0,2.0,54.0
Maruti Suzuki,Swift DZire VXi,2940,2009,114000,Petrol,Manual,Gold,First,Individual,1298 cc,87@6000,113@4500,FWD,4160.0,1690.0,1530.0,5.0,43.0
Maruti Suzuki,Celerio LXi,3120,2015,25862,Petrol,Manual,Blue,First,Individual,998 cc,67 bhp @ 6000 rpm,90 Nm @ 3500 rpm,FWD,3600.0,1600.0,1560.0,5.0,35.0
Skoda,Kodiaq Style 2.0 TDI 4x4 AT,38400,2018,35000,Diesel,Automatic,White,First,Individual,,,,,4697.0,1882.0,1665.0,7.0,63.0
Ford,Figo Duratorq Diesel Titanium 1.4,2880,2010,72000,Diesel,Manual,White,First,Individual,1399 cc,69@4000,160@2000,FWD,3795.0,1680.0,1427.0,5.0,45.0
Hyundai,Creta 1.6 SX Plus Special Edition,9600,2015,90000,Diesel,Manual,Silver,First,Individual,1582 cc,126 bhp @ 4000 rpm,265 Nm @ 1900 rpm,FWD,4270.0,1780.0,1630.0,5.0,60.0
Honda,City V,8940,2016,38000,Petrol,Manual,Silver,First,Individual,1497 cc,117 bhp @ 6600 rpm,145 Nm @ 4600 rpm,FWD,4440.0,1695.0,1495.0,5.0,40.0
Mercedes-Benz,E-Class E 220d Exclusive [2019-2019],88680,2021,7000,Diesel,Automatic,Grey,First,Individual,1950 cc,192 bhp @ 3800 rpm,400 Nm @ 1600 rpm,RWD,5063.0,1860.0,1494.0,5.0,80.0
BMW,X5 xDrive 30d M Sport,70800,2017,83985,Diesel,Automatic,White,Second,Individual,2993 cc,258 bhp @ 4000 rpm,560 Nm @ 1500 rpm,AWD,4886.0,1938.0,1762.0,5.0,
Honda,Amaze 1.2 S MT Petrol [2018-2020],8100,2019,74237,Petrol,Manual,White,First,Individual,1199 cc,89 bhp @ 6000 rpm,110 Nm @ 4800 rpm,FWD,3995.0,1695.0,1501.0,5.0,35.0
BMW,X1 sDrive20d xLine,31800,2018,53000,Diesel,Automatic,Blue,Second,Individual,1995 cc,184 bhp @ 4000 rpm,350 Nm @ 1750 rpm,RWD,4454.0,2044.0,1545.0,5.0,63.0
Maruti Suzuki,Alto 800 Lxi,4080,2016,52303,Petrol,Manual,Grey,First,Commercial Registration,796 cc,47 bhp @ 6000 rpm,69 Nm @ 3500 rpm,FWD,3395.0,1490.0,1475.0,5.0,35.0
Maruti Suzuki,Baleno Alpha 1.2,7440,2019,42356,Petrol,Manual,Red,First,Individual,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3995.0,1745.0,1500.0,5.0,37.0
Maruti Suzuki,SX4 ZDI,3564,2013,84000,Diesel,Manual,White,First,Individual,1248 cc,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD,4490.0,1735.0,1560.0,5.0,50.0
Toyota,Etios Liva GD,6000,2016,114000,Diesel,Manual,Grey,First,Individual,1364 cc,67 bhp @ 3800 rpm,170 Nm @ 1800 rpm,FWD,3775.0,1695.0,1510.0,5.0,45.0
Hyundai,Verna SX Plus 1.6 VTVT AT,13788,2019,26894,Petrol,Automatic,Black,First,Individual,1591 cc,121 bhp @ 6400 rpm,151 Nm @ 4850 rpm,FWD,4440.0,1729.0,1475.0,5.0,45.0
Mercedes-Benz,C-Class C 220 CDI Avantgarde,31800,2017,70000,Diesel,Automatic,Brown,Second,Individual,2143 cc,168 bhp @ 3000 rpm,400 Nm @ 1400 rpm,RWD,4686.0,1810.0,1442.0,5.0,66.0
Toyota,Fortuner 3.0 4x2 MT,16500,2012,98352,Diesel,Manual,White,First,Individual,2982 cc,169 bhp @ 3600 rpm,343 Nm @ 1400 rpm,RWD,4705.0,1840.0,1850.0,7.0,80.0
